Province_TH,Province_EN,Province_Code,Region,Latitude,Longitude,Coordinate_Source
กรุงเทพมหานคร,Bangkok,BKK,Central,13.7563,100.5018,Provincial administrative center reference point (static dataset v1)
กระบี่,Krabi,KBI,South,8.0863,98.9063,Provincial administrative center reference point (static dataset v1)
กาญจนบุรี,Kanchanaburi,KRI,West,14.0228,99.5328,Provincial administrative center reference point (static dataset v1)
กาฬสินธุ์,Kalasin,KSN,Northeast,16.4322,103.5061,Provincial administrative center reference point (static dataset v1)
กำแพงเพชร,Kamphaeng Phet,KPT,North,16.4828,99.5227,Provincial administrative center reference point (static dataset v1)
ขอนแก่น,Khon Kaen,KKN,Northeast,16.4419,102.835,Provincial administrative center reference point (static dataset v1)
จันทบุรี,Chanthaburi,CTI,East,12.6113,102.1038,Provincial administrative center reference point (static dataset v1)
ฉะเชิงเทรา,Chachoengsao,CCO,East,13.6904,101.0779,Provincial administrative center reference point (static dataset v1)
ชลบุรี,Chon Buri,CBI,East,13.3611,100.9847,Provincial administrative center reference point (static dataset v1)
ชัยนาท,Chai Nat,CNT,Central,15.1852,100.1251,Provincial administrative center reference point (static dataset v1)
ชัยภูมิ,Chaiyaphum,CPM,Northeast,15.8068,102.0315,Provincial administrative center reference point (static dataset v1)
ชุมพร,Chumphon,CPN,South,10.493,99.18,Provincial administrative center reference point (static dataset v1)
ตรัง,Trang,TRG,South,7.5563,99.6114,Provincial administrative center reference point (static dataset v1)
ตราด,Trat,TRT,East,12.2428,102.517,Provincial administrative center reference point (static dataset v1)
ตาก,Tak,TAK,North,16.8839,99.1258,Provincial administrative center reference point (static dataset v1)
นครนายก,Nakhon Nayok,NYK,Central,14.2069,101.2131,Provincial administrative center reference point (static dataset v1)
นครปฐม,Nakhon Pathom,NPT,Central,13.8199,100.0622,Provincial administrative center reference point (static dataset v1)
นครพนม,Nakhon Phanom,NPM,Northeast,17.392,104.7696,Provincial administrative center reference point (static dataset v1)
นครราชสีมา,Nakhon Ratchasima,NMA,Northeast,14.9799,102.0978,Provincial administrative center reference point (static dataset v1)
นครศรีธรรมราช,Nakhon Si Thammarat,NST,South,8.4304,99.9631,Provincial administrative center reference point (static dataset v1)
นครสวรรค์,Nakhon Sawan,NSW,Central,15.703,100.1372,Provincial administrative center reference point (static dataset v1)
นนทบุรี,Nonthaburi,NBI,Central,13.8621,100.5144,Provincial administrative center reference point (static dataset v1)
นราธิวาส,Narathiwat,NWT,South,6.4264,101.823,Provincial administrative center reference point (static dataset v1)
น่าน,Nan,NAN,North,18.7756,100.773,Provincial administrative center reference point (static dataset v1)
บึงกาฬ,Bueng Kan,BKN,Northeast,18.3609,103.6464,Provincial administrative center reference point (static dataset v1)
บุรีรัมย์,Buri Ram,BRM,Northeast,14.993,103.1029,Provincial administrative center reference point (static dataset v1)
ปทุมธานี,Pathum Thani,PTE,Central,14.0208,100.525,Provincial administrative center reference point (static dataset v1)
ประจวบคีรีขันธ์,Prachuap Khiri Khan,PKN,West,11.8126,99.797,Provincial administrative center reference point (static dataset v1)
ปราจีนบุรี,Prachin Buri,PRI,East,14.05,101.368,Provincial administrative center reference point (static dataset v1)
ปัตตานี,Pattani,PTN,South,6.869,101.2505,Provincial administrative center reference point (static dataset v1)
พะเยา,Phayao,PYO,North,19.166,99.9025,Provincial administrative center reference point (static dataset v1)
พังงา,Phang Nga,PNA,South,8.451,98.527,Provincial administrative center reference point (static dataset v1)
พัทลุง,Phatthalung,PLG,South,7.6167,100.075,Provincial administrative center reference point (static dataset v1)
พิจิตร,Phichit,PCT,North,16.4418,100.348,Provincial administrative center reference point (static dataset v1)
พิษณุโลก,Phitsanulok,PHS,North,16.8211,100.2659,Provincial administrative center reference point (static dataset v1)
ภูเก็ต,Phuket,PKT,South,7.8804,98.3923,Provincial administrative center reference point (static dataset v1)
มหาสารคาม,Maha Sarakham,MKM,Northeast,16.1848,103.3007,Provincial administrative center reference point (static dataset v1)
มุกดาหาร,Mukdahan,MDH,Northeast,16.5425,104.7235,Provincial administrative center reference point (static dataset v1)
ยะลา,Yala,YLA,South,6.5411,101.2804,Provincial administrative center reference point (static dataset v1)
ยโสธร,Yasothon,YST,Northeast,15.7926,104.1451,Provincial administrative center reference point (static dataset v1)
ร้อยเอ็ด,Roi Et,RET,Northeast,16.0538,103.652,Provincial administrative center reference point (static dataset v1)
ระนอง,Ranong,RNG,South,9.9529,98.6085,Provincial administrative center reference point (static dataset v1)
ระยอง,Rayong,RYG,East,12.6825,101.275,Provincial administrative center reference point (static dataset v1)
ราชบุรี,Ratchaburi,RBR,West,13.5283,99.8134,Provincial administrative center reference point (static dataset v1)
ลพบุรี,Lop Buri,LRI,Central,14.7995,100.6534,Provincial administrative center reference point (static dataset v1)
ลำปาง,Lampang,LPG,North,18.2888,99.4909,Provincial administrative center reference point (static dataset v1)
ลำพูน,Lamphun,LPN,North,18.5745,99.0087,Provincial administrative center reference point (static dataset v1)
ศรีสะเกษ,Si Sa Ket,SSK,Northeast,15.1186,104.322,Provincial administrative center reference point (static dataset v1)
สกลนคร,Sakon Nakhon,SNK,Northeast,17.156,104.147,Provincial administrative center reference point (static dataset v1)
สงขลา,Songkhla,SKA,South,7.1898,100.5954,Provincial administrative center reference point (static dataset v1)
สตูล,Satun,STN,South,6.6238,100.0674,Provincial administrative center reference point (static dataset v1)
สมุทรปราการ,Samut Prakan,SPK,Central,13.5991,100.5998,Provincial administrative center reference point (static dataset v1)
สมุทรสงคราม,Samut Songkhram,SKM,Central,13.4098,99.999,Provincial administrative center reference point (static dataset v1)
สมุทรสาคร,Samut Sakhon,SKN,Central,13.5475,100.2744,Provincial administrative center reference point (static dataset v1)
สระบุรี,Saraburi,SRI,Central,14.5289,100.9101,Provincial administrative center reference point (static dataset v1)
สระแก้ว,Sa Kaeo,SKW,East,13.824,102.0646,Provincial administrative center reference point (static dataset v1)
สิงห์บุรี,Sing Buri,SBR,Central,14.89,100.404,Provincial administrative center reference point (static dataset v1)
สุพรรณบุรี,Suphan Buri,SPB,Central,14.4742,100.1177,Provincial administrative center reference point (static dataset v1)
สุราษฎร์ธานี,Surat Thani,SNI,South,9.1382,99.3217,Provincial administrative center reference point (static dataset v1)
